Breed	Age	Gender	Weight	ExpectedWeight	PctOfExpected	Label	IsolationForest_Score	IsolationForest_Flag	
Red Chittagong	35	Male	234	206	113.6	Normal	0.078	Normal	
Local Zebu	29	Male	195.6	188.5	103.8	Normal	0.0844	Normal	
Local Zebu	42	Female	216.9	234.8	92.4	Normal	0.1378	Normal	
Red Chittagong	52	Male	165.3	291.1	56.8	Underweight	0.0308	Normal	
Sindhi Cross	43	Female	272.9	287.6	94.9	Normal	0.0712	Normal	
Holstein Cross	68	Male	364.3	609.7	59.8	Underweight	0.0085	Normal	
Red Chittagong	12	Male	108.2	90.9	119	Normal	0.0476	Normal	
Local Zebu	14	Female	85.9	98.2	87.5	Normal	0.1139	Normal	
Brahman Cross	12	Male	150.7	136.3	110.6	Normal	0.0095	Normal	
Sindhi Cross	16	Female	135.8	129.6	104.8	Normal	0.0509	Normal	
Sahiwal	34	Female	260.3	248	105	Normal	0.0995	Normal	
Sindhi Cross	44	Female	321.9	293.4	109.7	Normal	0.0619	Normal	
Red Chittagong	13	Female	83.5	87.1	95.9	Normal	0.0771	Normal	
Sindhi Cross	32	Female	211.9	223.2	94.9	Normal	0.0634	Normal	
Local Zebu	36	Male	212.7	226	94.1	Normal	0.0891	Normal	
Local Zebu	63	Female	324.9	337.1	96.4	Normal	0.126	Normal	
Local Zebu	42	Female	233.6	234.8	99.5	Normal	0.1403	Normal	
Pabna	35	Female	219.1	214	102.4	Normal	0.1263	Normal	
Brahman Cross	31	Female	257.7	253.6	101.6	Normal	0.0749	Normal	
Brahman Cross	40	Female	327.4	315	103.9	Normal	0.0648	Normal	
Local Zebu	45	Female	249.6	249.4	100.1	Normal	0.1385	Normal	
Sindhi Cross	62	Male	460.4	438.6	105	Normal	-0.0118	Flagged - Unusual, Needs Review	
Sahiwal	40	Female	281	285	98.6	Normal	0.0991	Normal	
Local Zebu	11	Female	124.4	83.6	148.8	Overweight	0.1131	Normal	
Brahman Cross	9	Male	123.2	113.8	108.3	Normal	-0.008	Flagged - Unusual, Needs Review	
Holstein Cross	8	Female	92.9	105.8	87.8	Normal	0.0554	Normal	
Local Zebu	11	Female	67.6	83.6	80.9	Normal	0.0888	Normal	
Pabna	62	Female	361.6	354.4	102	Normal	0.1014	Normal	
Brahman Cross	68	Female	502.7	506.1	99.3	Normal	0.0135	Normal	
Red Chittagong	47	Female	252.6	241.8	104.5	Normal	0.1189	Normal	
Red Chittagong	69	Male	383.2	376.1	101.9	Normal	0.0204	Normal	
Holstein Cross	10	Female	119.7	120.7	99.2	Normal	0.0673	Normal	
Red Chittagong	57	Female	274.6	287.3	95.6	Normal	0.1038	Normal	
Local Zebu	65	Female	324.2	346.9	93.5	Normal	0.1165	Normal	
Red Chittagong	69	Female	335.3	342	98	Normal	0.0719	Normal	
Local Zebu	22	Female	150.1	137.2	109.4	Normal	0.1431	Normal	
Sahiwal	21	Male	187.7	184.4	101.8	Normal	0.0507	Normal	
Sahiwal	26	Male	107.9	218.4	49.4	Underweight	0.0175	Normal	
Holstein Cross	20	Female	198.1	195.5	101.3	Normal	0.0845	Normal	
Holstein Cross	69	Female	567.6	561.8	101	Normal	-0.014	Flagged - Possible Pregnancy or Overweight	
Sahiwal	59	Female	389.1	402.3	96.7	Normal	0.0754	Normal	
Local Zebu	24	Female	149.3	147	101.6	Normal	0.1474	Normal	
Pabna	23	Female	152.5	151.6	100.6	Normal	0.1251	Normal	
Sahiwal	59	Male	425.4	442.6	96.1	Normal	0.0367	Normal	
Local Zebu	6	Male	70.5	65.2	108.1	Normal	0.005	Normal	
Brahman Cross	68	Female	514.5	506.1	101.7	Normal	0.0098	Normal	
Pabna	48	Female	297.8	281.6	105.8	Normal	0.1198	Normal	
Pabna	47	Female	292.2	276.4	105.7	Normal	0.1206	Normal	
Local Zebu	55	Male	307.3	327.9	93.7	Normal	0.0916	Normal	
Local Zebu	66	Female	337.7	351.8	96	Normal	0.1122	Normal	
Red Chittagong	25	Female	90.6	141.8	63.9	Underweight	0.0708	Normal	
Holstein Cross	62	Male	568.1	560.4	101.4	Normal	-0.0301	Flagged - Unusual, Needs Review	
Local Zebu	24	Female	154.7	147	105.2	Normal	0.1464	Normal	
Local Zebu	66	Female	409.5	351.8	116.4	Normal	0.0803	Normal	
Brahman Cross	56	Female	432.8	424.2	102	Normal	0.0392	Normal	
Holstein Cross	54	Female	466.7	449.6	103.8	Normal	0.0346	Normal	
Sindhi Cross	68	Female	275	433.8	63.4	Underweight	0.0143	Normal	
Sindhi Cross	35	Female	250.5	240.8	104	Normal	0.0655	Normal	
Local Zebu	18	Female	113	117.8	95.9	Normal	0.1339	Normal	
Sindhi Cross	11	Male	70.3	110.4	63.7	Underweight	-0.0291	Flagged - Potential Sickness	
Local Zebu	58	Female	301.2	312.8	96.3	Normal	0.1284	Normal	
Local Zebu	16	Female	104.4	108	96.7	Normal	0.1279	Normal	
Sahiwal	69	Female	456.8	464.1	98.4	Normal	0.0364	Normal	
Pabna	38	Female	230.8	229.6	100.5	Normal	0.1246	Normal	
Sindhi Cross	65	Female	451	416.2	108.4	Normal	0.029	Normal	
Local Zebu	62	Female	304.2	332.2	91.6	Normal	0.1194	Normal	
Red Chittagong	60	Female	311.3	301	103.4	Normal	0.1047	Normal	
Red Chittagong	55	Female	254.1	278.2	91.3	Normal	0.1049	Normal	
Red Chittagong	51	Female	253	260	97.3	Normal	0.1123	Normal	
Red Chittagong	56	Male	327.4	311.1	105.2	Normal	0.062	Normal	
Sahiwal	12	Female	113.1	112.1	100.9	Normal	0.0745	Normal	
Holstein Cross	42	Female	343.8	360	95.5	Normal	0.0777	Normal	
Holstein Cross	34	Female	289.4	300.2	96.4	Normal	0.0729	Normal	
Brahman Cross	23	Female	209.2	199	105.1	Normal	0.0737	Normal	
Brahman Cross	45	Female	177.1	349.1	50.7	Underweight	0.0447	Normal	
Sindhi Cross	47	Female	314.2	311	101	Normal	0.0634	Normal	
Local Zebu	52	Female	284.2	283.5	100.2	Normal	0.1415	Normal	
Holstein Cross	38	Female	320.3	330	97.1	Normal	0.0738	Normal	
Sindhi Cross	43	Female	319.7	287.6	111.2	Normal	0.0623	Normal	
Local Zebu	15	Male	122.9	113.4	108.4	Normal	0.0728	Normal	
Holstein Cross	56	Female	434.2	464.6	93.5	Normal	0.0477	Normal	
Red Chittagong	56	Male	313.9	311.1	100.9	Normal	0.0635	Normal	
Pabna	39	Female	224.9	234.8	95.8	Normal	0.124	Normal	
Sindhi Cross	19	Female	159.9	147.2	108.6	Normal	0.0571	Normal	
Brahman Cross	47	Female	350.9	362.8	96.7	Normal	0.0757	Normal	
Local Zebu	65	Female	345.2	346.9	99.5	Normal	0.1179	Normal	
Red Chittagong	23	Male	204	145.9	139.8	Overweight	0.069	Normal	
Local Zebu	23	Female	155.1	142.1	109.1	Normal	0.1454	Normal	
Sindhi Cross	59	Female	363.1	381.2	95.3	Normal	0.051	Normal	
Sindhi Cross	18	Female	136.3	141.3	96.5	Normal	0.0556	Normal	
Sindhi Cross	41	Male	296.3	303.4	97.7	Normal	0.0239	Normal	
Pabna	36	Female	209.4	219.2	95.5	Normal	0.1249	Normal	
Sahiwal	51	Male	414.7	388.2	106.8	Normal	0.0328	Normal	
Sindhi Cross	64	Male	457.5	451.4	101.4	Normal	-0.0108	Flagged - Unusual, Needs Review	
Brahman Cross	8	Male	87.3	106.3	82.1	Normal	-0.0213	Flagged - Potential Sickness	
Sindhi Cross	32	Male	259.3	245.5	105.6	Normal	0.0192	Normal	
Local Zebu	33	Female	222.7	190.9	116.7	Normal	0.1364	Normal	
Sahiwal	6	Male	98	82.6	118.6	Normal	-0.0102	Flagged - Unusual, Needs Review	
Sindhi Cross	38	Female	235.5	258.3	91.2	Normal	0.0668	Normal	
Holstein Cross	22	Male	224.2	231.5	96.8	Normal	0.0431	Normal	
Local Zebu	47	Male	304	285	106.7	Normal	0.0978	Normal	
Local Zebu	59	Female	307	317.6	96.7	Normal	0.1264	Normal	
Pabna	52	Female	309.1	302.4	102.2	Normal	0.1224	Normal	
Pabna	11	Female	100.8	89.2	113	Normal	0.0917	Normal	
Brahman Cross	44	Female	328.4	342.3	95.9	Normal	0.0746	Normal	
Local Zebu	67	Female	355.7	356.6	99.7	Normal	0.1078	Normal	
Local Zebu	62	Male	316.9	365.5	86.7	Normal	0.0615	Normal	
Brahman Cross	14	Male	135.9	151.3	89.8	Normal	0.0178	Normal	
Brahman Cross	47	Female	359	362.8	99	Normal	0.0747	Normal	
Red Chittagong	70	Female	327.8	346.5	94.6	Normal	0.0585	Normal	
Sahiwal	33	Female	266.3	241.8	110.1	Normal	0.0941	Normal	
Red Chittagong	64	Female	297.7	319.2	93.3	Normal	0.093	Normal	
Red Chittagong	46	Female	230.7	237.3	97.2	Normal	0.1192	Normal	
Local Zebu	66	Male	388.9	386.9	100.5	Normal	0.0537	Normal	
Local Zebu	18	Female	139.4	117.8	118.3	Normal	0.1386	Normal	
Local Zebu	13	Female	71.8	93.4	76.9	Underweight	0.0951	Normal	
Red Chittagong	21	Female	141	123.6	114.1	Normal	0.1069	Normal	
Sindhi Cross	60	Female	387.2	387	100.1	Normal	0.0535	Normal	
Sindhi Cross	45	Female	284.5	299.2	95.1	Normal	0.0727	Normal	
Local Zebu	67	Male	399.2	392.3	101.8	Normal	0.0468	Normal	
Holstein Cross	53	Male	489.4	486.4	100.6	Normal	0.0034	Normal	
Local Zebu	60	Female	313.5	322.5	97.2	Normal	0.1306	Normal	
Holstein Cross	9	Female	114.3	113.3	100.9	Normal	0.0629	Normal	
Sahiwal	9	Male	97.2	102.9	94.5	Normal	0.0132	Normal	
Red Chittagong	49	Female	252.7	251	100.7	Normal	0.1139	Normal	
Local Zebu	57	Male	348.6	338.7	102.9	Normal	0.0875	Normal	
Sindhi Cross	17	Female	159.2	135.5	117.5	Normal	0.0565	Normal	
Red Chittagong	49	Male	257.5	276	93.3	Normal	0.0628	Normal	
Red Chittagong	16	Female	132.8	100.8	131.7	Overweight	0.1009	Normal	
Sahiwal	12	Female	82.8	112.1	73.9	Underweight	0.053	Normal	
Brahman Cross	68	Female	503.8	506.1	99.5	Normal	0.0134	Normal	
Local Zebu	71	Male	422.6	413.7	102.2	Normal	0.0078	Normal	
Red Chittagong	68	Female	341.6	337.4	101.2	Normal	0.077	Normal	
Local Zebu	13	Male	93.4	102.7	90.9	Normal	0.0597	Normal	
Local Zebu	23	Female	139	142.1	97.8	Normal	0.1418	Normal	
Local Zebu	69	Female	359	366.4	98	Normal	0.096	Normal	
Red Chittagong	35	Female	178.4	187.2	95.3	Normal	0.1146	Normal	
Holstein Cross	15	Female	170.9	158.1	108.1	Normal	0.0783	Normal	
Pabna	64	Female	370.2	364.8	101.5	Normal	0.0943	Normal	
Brahman Cross	57	Female	420.6	431	97.6	Normal	0.0483	Normal	
Local Zebu	8	Female	82.5	69	119.6	Normal	0.0978	Normal	
Sindhi Cross	64	Female	415	410.4	101.1	Normal	0.0535	Normal	
Local Zebu	19	Male	147.1	134.9	109	Normal	0.0843	Normal	
Pabna	56	Female	332.6	323.2	102.9	Normal	0.1131	Normal	
Local Zebu	27	Male	165.4	177.8	93	Normal	0.0816	Normal	
Pabna	30	Female	179.6	188	95.5	Normal	0.1285	Normal	
Sahiwal	24	Male	216	204.8	105.5	Normal	0.0495	Normal	
Local Zebu	25	Female	161	151.9	106	Normal	0.1453	Normal	
Local Zebu	69	Female	366.1	366.4	99.9	Normal	0.0881	Normal	
Brahman Cross	47	Female	364.5	362.8	100.5	Normal	0.0708	Normal	
Local Zebu	14	Female	117.4	98.2	119.6	Normal	0.13	Normal	
Sahiwal	13	Female	109.4	118.3	92.5	Normal	0.0743	Normal	
Pabna	10	Male	100.6	92.4	108.9	Normal	0.0339	Normal	
Local Zebu	17	Female	109.8	112.9	97.3	Normal	0.132	Normal	
Pabna	11	Female	85.9	89.2	96.3	Normal	0.0887	Normal	
Brahman Cross	47	Female	379.3	362.8	104.5	Normal	0.0663	Normal	
Sindhi Cross	63	Male	457.4	445	102.8	Normal	-0.0095	Flagged - Unusual, Needs Review	
Red Chittagong	16	Female	113	100.8	112.1	Normal	0.103	Normal	
Local Zebu	62	Female	351.8	332.2	105.9	Normal	0.1239	Normal	
Brahman Cross	52	Female	397.2	396.9	100.1	Normal	0.0554	Normal	
Red Chittagong	49	Female	361.4	251	144	Overweight	0.0896	Normal	
Red Chittagong	55	Male	301.4	306.1	98.5	Normal	0.0686	Normal	
Brahman Cross	25	Male	238.7	233.9	102.1	Normal	0.0297	Normal	
Local Zebu	50	Male	299.2	301.1	99.4	Normal	0.0944	Normal	
Brahman Cross	22	Female	193.6	192.2	100.7	Normal	0.0692	Normal	
Red Chittagong	54	Female	282.6	273.7	103.3	Normal	0.1119	Normal	
Local Zebu	17	Female	100.6	112.9	89.1	Normal	0.1223	Normal	
Red Chittagong	52	Male	322.4	291.1	110.8	Normal	0.0697	Normal	
Red Chittagong	68	Male	356	371.1	95.9	Normal	0.0256	Normal	
Local Zebu	43	Female	221.4	239.6	92.4	Normal	0.1372	Normal	
Sahiwal	10	Female	117.1	99.8	117.3	Normal	0.061	Normal	
Brahman Cross	54	Male	463.5	451.6	102.6	Normal	0.0058	Normal	
Sahiwal	27	Female	134.8	204.7	65.9	Underweight	0.0789	Normal	
Sindhi Cross	42	Female	291.1	281.7	103.3	Normal	0.0706	Normal	
Local Zebu	36	Male	225.9	226	100	Normal	0.0919	Normal	
Pabna	30	Female	174.5	188	92.8	Normal	0.1263	Normal	
Sindhi Cross	65	Female	417.4	416.2	100.3	Normal	0.0477	Normal	
Pabna	59	Female	328.6	338.8	97	Normal	0.11	Normal	
Holstein Cross	23	Female	131.8	217.9	60.5	Underweight	0.0885	Normal	
Sindhi Cross	72	Female	455	457.2	99.5	Normal	-0.007	Flagged - Potential Sickness	
Sahiwal	40	Female	272.6	285	95.6	Normal	0.1016	Normal	
Holstein Cross	17	Female	168.3	173.1	97.2	Normal	0.0852	Normal	
Pabna	50	Female	298.2	292	102.1	Normal	0.1195	Normal	
Red Chittagong	53	Male	287.6	296.1	97.1	Normal	0.0694	Normal	
Red Chittagong	9	Male	63.5	75.8	83.8	Normal	0.0059	Normal	
Sahiwal	48	Female	338.1	334.4	101.1	Normal	0.0884	Normal	
Red Chittagong	66	Female	332	328.3	101.1	Normal	0.0857	Normal	
Sahiwal	63	Female	419.4	427	98.2	Normal	0.0728	Normal	
Local Zebu	33	Female	183.8	190.9	96.3	Normal	0.1369	Normal	
Sahiwal	60	Male	452.8	449.4	100.8	Normal	0.0294	Normal	
Red Chittagong	12	Male	69.1	90.9	76	Underweight	0.0167	Normal	
Brahman Cross	14	Male	130.2	151.3	86.1	Normal	0.0162	Normal	
Brahman Cross	8	Female	85.8	96.6	88.8	Normal	0.0282	Normal	
Sahiwal	43	Female	300.3	303.5	98.9	Normal	0.0968	Normal	
Local Zebu	59	Male	354.1	349.4	101.3	Normal	0.0777	Normal	
Pabna	52	Male	354.8	332.6	106.7	Normal	0.0705	Normal	
Pabna	70	Female	408.9	396	103.3	Normal	0.0497	Normal	
Pabna	55	Female	315.6	318	99.2	Normal	0.117	Normal	
Local Zebu	14	Male	107.8	108.1	99.7	Normal	0.0673	Normal	
Brahman Cross	48	Male	391.5	406.6	96.3	Normal	0.0249	Normal	
Red Chittagong	28	Female	155.1	155.4	99.8	Normal	0.1137	Normal	
Sindhi Cross	67	Female	423.6	428	99	Normal	0.0386	Normal	
Local Zebu	64	Male	381	376.2	101.3	Normal	0.0639	Normal	
Sahiwal	11	Male	104.1	116.5	89.4	Normal	0.0243	Normal	
Red Chittagong	66	Male	368.9	361.1	102.2	Normal	0.033	Normal	
